reservoir_id,cwc_name,date,live_storage_bcm,percent_frl,percent_normal,live_capacity_at_frl_bcm,normal_storage_bcm,source_url,source_lines
tehri,Tehri,2026-05-14,0.036,1.38,6.64,2.615,,local://bulletin_2026_05_14.pdf,
mettur,Mettur,2026-05-14,1.17,44.2,44.32,2.647,,local://bulletin_2026_05_14.pdf,
jayakwadi,Jayakwadi,2026-05-14,0.902,41.53,27.74,2.171,,local://bulletin_2026_05_14.pdf,
indira_sagar,Indira Sagar,2026-05-14,2.715,27.86,28.73,9.745,,local://bulletin_2026_05_14.pdf,
nagarjuna_sagar,Nagarjuna Sagar,2026-05-14,0.724,14.17,10.39,5.108,,local://bulletin_2026_05_14.pdf,
srisailam,Srisailam,2026-05-14,1.013,16.85,12.89,6.013,,local://bulletin_2026_05_14.pdf,
sardar_sarovar,Sardar Sarovar,2026-05-14,3.11,53.99,20.74,5.76,,local://bulletin_2026_05_14.pdf,
ukai,Ukai,2026-05-14,3.088,46.68,34.58,6.615,,local://bulletin_2026_05_14.pdf,
kabini,Kabini,2026-05-14,0.05,11.2,16.02,0.444,,local://bulletin_2026_05_14.pdf,
hemavathy,Hemavathy,2026-05-14,0.338,36.43,26.73,0.927,,local://bulletin_2026_05_14.pdf,
harangi,Harangi,2026-05-14,0.064,28.91,27.45,0.22,,local://bulletin_2026_05_14.pdf,
vaigai,Vaigai,2026-05-14,0.007,4.05,32.49,0.172,,local://bulletin_2026_05_14.pdf,
idukki,Idukki,2026-05-14,0.393,26.88,29.86,1.46,,local://bulletin_2026_05_14.pdf,
idamalayar,Idamalayar,2026-05-14,0.255,25.03,24.91,1.018,,local://bulletin_2026_05_14.pdf,
bisalpur,Bisalpur,2026-05-14,0.803,74.63,40.83,1.076,,local://bulletin_2026_05_14.pdf,
maithon,Maithon,2026-05-14,0.275,58.39,49.24,0.471,,local://bulletin_2026_05_14.pdf,
panchet,Panchet,2026-05-14,0.184,100.0,56.85,0.184,,local://bulletin_2026_05_14.pdf,
bargi,Bargi,2026-05-14,0.783,24.62,40.71,3.18,,local://bulletin_2026_05_14.pdf,
singur,Singur,2026-05-14,0.171,20.8,38.27,0.822,,local://bulletin_2026_05_14.pdf,
krs,Krishnaraja Sagara,2026-05-14,0.21,18.03,18.3,1.163,,local://bulletin_2026_05_14.pdf,
bhakra,Gobind Sagar,2026-05-14,1.985,31.87,23.07,6.229,,local://bulletin_2026_05_14.pdf,
bhavanisagar,Lower Bhawani,2026-05-14,0.204,25.71,34.5,0.792,,local://bulletin_2026_05_14.pdf,
khadakwasla,Khadakvasla,2026-05-14,0.031,56.12,48.91,0.056,,local://bulletin_2026_05_14.pdf,
totladoh,Pench,2026-05-14,0.525,48.08,37.44,1.091,,local://bulletin_2026_05_14.pdf,
