reservoir_id,cwc_name,date,live_storage_bcm,percent_frl,percent_normal,live_capacity_at_frl_bcm,normal_storage_bcm,source_url,source_lines
tehri,Tehri,2026-04-09,0.404,15.43,17.3,2.615,,local://bulletin_2026_04_09.pdf,
mettur,Mettur,2026-04-09,1.254,47.37,45.91,2.647,,local://bulletin_2026_04_09.pdf,
jayakwadi,Jayakwadi,2026-04-09,1.248,57.49,39.67,2.171,,local://bulletin_2026_04_09.pdf,
indira_sagar,Indira Sagar,2026-04-09,4.192,43.02,36.3,9.745,,local://bulletin_2026_04_09.pdf,
nagarjuna_sagar,Nagarjuna Sagar,2026-04-09,0.994,19.46,14.13,5.108,,local://bulletin_2026_04_09.pdf,
srisailam,Srisailam,2026-04-09,1.104,18.36,14.8,6.013,,local://bulletin_2026_04_09.pdf,
sardar_sarovar,Sardar Sarovar,2026-04-09,3.096,53.75,21.85,5.76,,local://bulletin_2026_04_09.pdf,
ukai,Ukai,2026-04-09,4.097,61.94,47.57,6.615,,local://bulletin_2026_04_09.pdf,
kabini,Kabini,2026-04-09,0.129,29.13,28.61,0.444,,local://bulletin_2026_04_09.pdf,
hemavathy,Hemavathy,2026-04-09,0.393,42.39,30.27,0.927,,local://bulletin_2026_04_09.pdf,
harangi,Harangi,2026-04-09,0.073,33.21,28.26,0.22,,local://bulletin_2026_04_09.pdf,
vaigai,Vaigai,2026-04-09,0.018,10.57,40.35,0.172,,local://bulletin_2026_04_09.pdf,
idukki,Idukki,2026-04-09,0.581,39.77,37.8,1.46,,local://bulletin_2026_04_09.pdf,
idamalayar,Idamalayar,2026-04-09,0.357,35.09,33.12,1.018,,local://bulletin_2026_04_09.pdf,
bisalpur,Bisalpur,2026-04-09,0.899,83.58,46.68,1.076,,local://bulletin_2026_04_09.pdf,
maithon,Maithon,2026-04-09,0.42,89.17,71.93,0.471,,local://bulletin_2026_04_09.pdf,
panchet,Panchet,2026-04-09,0.184,100.0,77.53,0.184,,local://bulletin_2026_04_09.pdf,
bargi,Bargi,2026-04-09,1.246,39.18,51.74,3.18,,local://bulletin_2026_04_09.pdf,
singur,Singur,2026-04-09,0.208,25.25,41.19,0.822,,local://bulletin_2026_04_09.pdf,
pulichintala,Pulichintala,2026-04-09,0.701,53.92,29.61,1.3,,local://bulletin_2026_04_09.pdf,
somasila,Somasila,2026-04-09,1.464,73.43,44.85,1.994,,local://bulletin_2026_04_09.pdf,
yeleru,Yeleru,2026-04-09,0.129,25.39,24.26,0.508,,local://bulletin_2026_04_09.pdf,
kadana,Kadana,2026-04-09,0.792,53.79,43.56,1.472,,local://bulletin_2026_04_09.pdf,
panam,Panam,2026-04-09,0.361,51.82,39.35,0.697,,local://bulletin_2026_04_09.pdf,
hathmati,Hathmati,2026-04-09,0.107,69.68,20.7,0.153,,local://bulletin_2026_04_09.pdf,
pong_dam,Pong Dam,2026-04-09,2.323,37.72,27.35,6.157,,local://bulletin_2026_04_09.pdf,
kol_dam,Kol Dam,2026-04-09,0.069,77.35,62.54,0.089,,local://bulletin_2026_04_09.pdf,
tenughat,Tenughat,2026-04-09,0.274,33.37,42.42,0.821,,local://bulletin_2026_04_09.pdf,
konar,Konar,2026-04-09,0.093,52.84,50.12,0.176,,local://bulletin_2026_04_09.pdf,
tilaiya,Tilaiya,2026-04-09,0.026,18.31,21.4,0.142,,local://bulletin_2026_04_09.pdf,
gandhi_sagar,Gandhi Sagar,2026-04-09,4.494,65.83,47.85,6.827,,local://bulletin_2026_04_09.pdf,
tawa,Tawa,2026-04-09,0.746,38.37,31.6,1.944,,local://bulletin_2026_04_09.pdf,
omkareshwar,Omkareshwar,2026-04-09,0.155,51.74,20.19,0.299,,local://bulletin_2026_04_09.pdf,
